id,description
http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,"manage musical staff manage staff of music coordinate duties of musical staff manage music staff direct musical staff Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching."
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,"supervise correctional procedures oversee prison procedures manage correctional procedures monitor correctional procedures manage prison procedures monitor prison procedures oversee correctional procedures Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facility's efficiency and safety."
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,"apply anti-oppressive practices apply non-oppressive practices apply an anti-oppressive practice make use of anti-oppressive practices act in a non-oppressive way identify oppression in societies and groups apply anti-oppresive practice use anti-oppressive practices Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests."
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,"control compliance of railway vehicles regulations monitoring of compliance with railway vehicles regulations monitoring of compliance with rolling stock regulations checking compliance with rolling stock regulations control compliance of regulations of rolling stock inspection of compliance with rolling stock regulations ensuring compliance with railway vehicles regulations compliance controls of railway vehicles regulations conduct controls of compliance of railway vehicles regulations Inspect rolling stock, components and systems to ensure compliance with standards and specifications."
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,"identify available services establish available services determine rehabilitation services analyse rehabilitation services establish rehabilitation services determine available services analyse available services classify available services classify rehabilitation services Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them."
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,"perform toxicological studies apply toxicological testing methods perform toxicological tests perform toxicological study carry out toxicological studies Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body."
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,ensure coquille uniformity ensure uniformity of coquille checking that coquille is uniform ensuring uniformity of coquille ensuring coquille is uniform ensure coquille is uniform ensuring of coquille uniformity make sure coquille is uniform check that coquille is uniform Oversee uniformity of coquilles; use casting equipment and tools such as welding machines.
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,"Haskell Haskell techniques The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell."
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,show initiative take the initiative give impetus be a driving force demonstrate sense of initiative initiate action show sense of initiative show active initiative Be proactive and take the first step in an action without waiting for what others say or do. 
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,"train staff to reduce food waste teach students food waste reduction practices inform staff on food waste reduction practices educate workers on food recycling methods educate staff on food waste reduction Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste."
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,"apply diplomatic principles utilise diplomacy principles administer diplomacy principles use diplomatic principles implement diplomacy principles utilise diplomatic principles implement diplomatic principles use diplomacy principles administer diplomatic principles Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise."
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,"lead police investigations supervise police investigations manage police enquiries supervise police enquiries oversee police investigations manage police investigations oversee police enquiries Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff."
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,"handle fish harvesting waste dispose of waste from fish harvesting fish harvesting waste handling fish harvesting waste disposing dispose of fish harvesting waste Dispose of waste, blood and inferior quality fish according to site waste management procedures."
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,"develop energy saving concepts create concepts for energy saving energy saving concepts developing creating energy saving concepts creating concepts for energy saving create energy saving concepts energy saving concepts creating develop concepts for energy saving Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials."
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,"perform street interventions in social work do street interventions in social work perform street-intervention in social work perform street intervention in social-work perform street-intervention in social-work conduct outreach activites carry out street interventions in social work Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people."
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,work with soloists collaborate with soloists work with a soloist communicate with solo artists Communicate with solo artists and concert masters to discuss and prepare for performances.
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,sport and exercise medicine sports injury treatment sports medicine exercise and sports medicine sports injury medicine Prevention and treatement of injuries or conditions resulted from a physical activity or sport.
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,"conduct research on flora carry out research on flora flora research perform research on flora run research on flora research on flora Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function."
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,"install heat pump installation of heat pumps commission heat pumps heat pump commissioning commissioning of heat pump commission heat pump heat pump installation commissioning heat pump commissioning heat pumps installation of heat pump commissioning of heat pumps heat pump installing Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump."
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,"design biomass installations design biomass energy system design biomass installation calculate capacity indicators for biomass installations design biomass system determine construction boundaries for biomass energy systems Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design."
